number_of_cpus	wall_clock_time	processors_per_node	cores_per_processor	number_of_nodes	cpu_interconnects	processor	ram_per_cpu	ram_bus_speed	computer_system	operating_system	vendor	mpi_library	shared_or_dedicated	code_version	code_version_number	problem_name	precision	smp_mpp	location	submitted_by	submitted_by_org	date_submitted
96	137	2	6	8	QDR IB	Intel® Xeon® Six Core X5670	2	1333	Intel SR1600UR system	Redhat5U3	Intel	Intel MPI 3.2.1	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	Intel/SSG	2010-04-06
64	139	2	8	4	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-09
64	144	2	8	4	IB QDR	Intel® Xeon® E5-2680 @2.70GHz Turbo Enabled	4	1600	bullx blade system (B510)	bullx supercomputer suite AE R2.2	BULL	Intel MPI 4.0.3.008	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2012-07-04
128	153	2	1	64	QLogic InfiniPath IB	Intel Dualcore Xeon 5160 3.0 GHz	2	0	Cambridge Cluster	ClusterVisionOS	ClusterVision/Dell	QLogic MPI 2.0	s	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Cambridge, UK	Kevin Ball	QLogic	2007-02-26
60	155	2	6	5	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
64	157	2	4	8	IP95 Blades with Mellanox ConnectX IB HCA DDR Fabric OFED v1.4	Intel® Xeon® Quad Core X5570 2.93GHz Turbo Boost E	6	1066	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 6SP2	SGI	SGI MPT 1.23	s	LS-DYNA	ls971.R3.2	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2009-03-31
64	163	2	4	8	IB QDR	Intel® Xeon® Quad Core X5560 @2.80GHz	3	1333	bullx blade cluster	bullx cluster suite	BULL	hpmpi	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2010-04-08
256	166	128	2	1	NUMAlink	Intel Itanium DC Montvale 1.669Ghz	2	666	Altix 4700	SUSE Linux Enterprise Server 10, SGI ProPack 5SP3	SGI	SGI MPT 1.17	s	LS-DYNA	971R2.7600.1224	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-03-08
64	168	2	4	8	IB	Intel® Xeon® Quad Core X5560	2	1067	Supermicro Board X8DTN qual	Redhat5U3	Intel	Intel MPI 3.2.011	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	SSG/ASE	2009-03-27
256	174	128	2	1	NUMAlink	Intel Itanium 2 1600MHz Montecito	2	531	Altix 4700	SUSE Linux Enterprise Server 10, SGI ProPack 5SP1	SGI	sgi-mpt-1.15-sgi501r	d	LS-DYNA	ls971.7600.1224	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2007-09-21
256	176	2	4	32	Voltaire ConnectX IB Gen2 HCA DDR Fabric OFED v1.3	Intel Xeon E5462 2.80GHz	2	800	Bull Novascale R422-E1	Linux Bull Advanced Server 5v1.1	BULL	hpmpi	s	LS-DYNA	mpp971.R3.2	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2008-12-12
48	176	2	8	3	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-09
48	179	2	6	4	Mellanox® Technologies ConnectX-2® IB QDR	Intel® Xeon® Hexa Core X5690 3.47GHz	2	1333	Altix ICE 8400EX?	SUSE® Linux® Enterprise Server 11 SP1	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Chippewa Falls, WI	Olivier Schreiber	Applications Engineering	2011-09-25
